"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",834.447
"Jan 1, 01:00 am",834.447
"Jan 1, 02:00 am",834.447
"Jan 1, 03:00 am",834.447
"Jan 1, 04:00 am",833.119
"Jan 1, 05:00 am",791.06
"Jan 1, 06:00 am",727.284
"Jan 1, 07:00 am",715.601
"Jan 1, 08:00 am",654.294
"Jan 1, 09:00 am",619.33
"Jan 1, 10:00 am",579.056
"Jan 1, 11:00 am",539.403
"Jan 1, 12:00 pm",457.683
"Jan 1, 01:00 pm",433.141
"Jan 1, 02:00 pm",404.164
"Jan 1, 03:00 pm",383.26
"Jan 1, 04:00 pm",307.05
"Jan 1, 05:00 pm",327.224
"Jan 1, 06:00 pm",307.601
"Jan 1, 07:00 pm",351.199
"Jan 1, 08:00 pm",317.264
"Jan 1, 09:00 pm",329.907
"Jan 1, 10:00 pm",404.946
"Jan 1, 11:00 pm",437.271
"Jan 2, 12:00 am",426.337
"Jan 2, 01:00 am",437.291
"Jan 2, 02:00 am",426.228
"Jan 2, 03:00 am",462.97
"Jan 2, 04:00 am",462.125
"Jan 2, 05:00 am",533.123
"Jan 2, 06:00 am",559.021
"Jan 2, 07:00 am",525.568
"Jan 2, 08:00 am",452.986
"Jan 2, 09:00 am",377.1
"Jan 2, 10:00 am",337.956
"Jan 2, 11:00 am",481.849
"Jan 2, 12:00 pm",591.237
"Jan 2, 01:00 pm",739.365
"Jan 2, 02:00 pm",722.237
"Jan 2, 03:00 pm",706.243
"Jan 2, 04:00 pm",610.685
"Jan 2, 05:00 pm",589.055
"Jan 2, 06:00 pm",507.915
"Jan 2, 07:00 pm",551.355
"Jan 2, 08:00 pm",701.044
"Jan 2, 09:00 pm",582.566
"Jan 2, 10:00 pm",593.825
"Jan 2, 11:00 pm",641.918
"Jan 3, 12:00 am",625.824
"Jan 3, 01:00 am",532.413
"Jan 3, 02:00 am",540.123
"Jan 3, 03:00 am",553.293
"Jan 3, 04:00 am",500.025
"Jan 3, 05:00 am",517.01
"Jan 3, 06:00 am",406.381
"Jan 3, 07:00 am",158.062
"Jan 3, 08:00 am",23.1401
"Jan 3, 09:00 am",0
"Jan 3, 10:00 am",0
"Jan 3, 11:00 am",0
"Jan 3, 12:00 pm",0
"Jan 3, 01:00 pm",0
"Jan 3, 02:00 pm",0
"Jan 3, 03:00 pm",0
"Jan 3, 04:00 pm",0
"Jan 3, 05:00 pm",0
"Jan 3, 06:00 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",13.9369
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",0
"Jan 4, 08:00 am",0.987488
"Jan 4, 09:00 am",0
"Jan 4, 10:00 am",0
"Jan 4, 11:00 am",4.13256
"Jan 4, 12:00 pm",0
"Jan 4, 01:00 pm",0
"Jan 4, 02:00 pm",0
"Jan 4, 03:00 pm",0
"Jan 4, 04:00 pm",0
"Jan 4, 05:00 pm",0
"Jan 4, 06:00 pm",7.88651
"Jan 4, 07:00 pm",28.8478
"Jan 4, 08:00 pm",66.3793
"Jan 4, 09:00 pm",52.516
"Jan 4, 10:00 pm",29.1532
"Jan 4, 11:00 pm",96.5055
"Jan 5, 12:00 am",148.581
"Jan 5, 01:00 am",157.798
"Jan 5, 02:00 am",246.441
"Jan 5, 03:00 am",285.194
"Jan 5, 04:00 am",256.798
"Jan 5, 05:00 am",193.399
"Jan 5, 06:00 am",274.892
"Jan 5, 07:00 am",319.44
"Jan 5, 08:00 am",392.867
"Jan 5, 09:00 am",494.67
"Jan 5, 10:00 am",487.896
"Jan 5, 11:00 am",528.813
"Jan 5, 12:00 pm",519.186
"Jan 5, 01:00 pm",580.694
"Jan 5, 02:00 pm",558.304
"Jan 5, 03:00 pm",545.656
"Jan 5, 04:00 pm",554.695
"Jan 5, 05:00 pm",534.993
"Jan 5, 06:00 pm",489.517
"Jan 5, 07:00 pm",549.928
"Jan 5, 08:00 pm",531.062
"Jan 5, 09:00 pm",586.411
"Jan 5, 10:00 pm",650.751
"Jan 5, 11:00 pm",688.769
"Jan 6, 12:00 am",755.862
"Jan 6, 01:00 am",802.947
"Jan 6, 02:00 am",808.187
"Jan 6, 03:00 am",789.208
"Jan 6, 04:00 am",789.685
"Jan 6, 05:00 am",798.029
"Jan 6, 06:00 am",804.444
"Jan 6, 07:00 am",768.034
"Jan 6, 08:00 am",730.686
"Jan 6, 09:00 am",699.075
"Jan 6, 10:00 am",631.717
"Jan 6, 11:00 am",636.099
"Jan 6, 12:00 pm",593.571
