,Curtailment,Shortfall,Wind + PV + Storage,Wind + PV Generation,Load,State of Charge,Battery Used,Final Diesel Shortfall,Total Diesel Power Supplied,Total Diesel Fuel Used
0,0.0,3205.58,753.5500000000001,753.5500000000001,3959.13,0.0,0.0,0.0,3205.58,193.56377635782746
1,0.0,1174.6100000000001,2700.25,2700.25,3874.86,0.0,0.0,0.0,1174.6100000000001,70.92692971246007
2,0.0,352.8499999999999,3468.15,3468.15,3821.0,0.0,0.0,0.0,352.8499999999999,21.30627795527156
3,0.0,311.0999999999999,3451.7000000000003,3451.7000000000003,3762.8,0.0,0.0,0.0,311.0999999999999,18.7852715654952
4,0.0,991.6099999999997,2767.03,2767.03,3758.64,0.0,0.0,0.0,991.6099999999997,59.8767699680511
5,0.0,1119.6699999999996,2686.53,2686.53,3806.2,0.0,0.0,0.0,1119.6699999999996,67.6094664536741
6,0.0,434.8599999999997,3480.61,3480.61,3915.47,0.0,0.0,0.0,434.8599999999997,26.25831948881787
7,0.0,1289.52,2731.54,2731.54,4021.06,0.0,0.0,0.0,1289.52,77.86558466453674
8,0.0,3586.7999999999997,503.30000000000007,503.30000000000007,4090.1,0.0,0.0,0.0,3586.7999999999997,216.58313099041533
9,0.0,4251.389999999999,8.26,8.26,4259.65,0.0,0.0,0.0,4251.389999999999,256.7133258785942
10,0.0,3942.1400000000003,412.16,412.16,4354.3,0.0,0.0,0.0,3942.1400000000003,238.03976357827477
11,0.0,2421.3500000000004,1921.08,1921.08,4342.43,0.0,0.0,0.0,2421.3500000000004,146.20931309904157
12,0.0,2819.85,1640.73,1640.73,4460.58,0.0,0.0,0.0,2819.85,170.2720926517572
13,0.0,3469.3199999999997,965.09,965.09,4434.41,0.0,0.0,0.0,3469.3199999999997,209.48929073482427
14,0.0,4238.45,162.96,162.96,4401.41,0.0,0.0,0.0,4238.45,255.93196485623002
15,0.0,4259.4,153.51,153.51,4412.91,0.0,0.0,0.0,4259.4,257.1969968051118
16,0.0,4507.8,6.23,6.23,4514.03,0.0,0.0,0.0,4507.8,272.1962300319489
17,0.0,4715.38,-1.82,-1.82,4713.56,0.0,0.0,0.0,4715.38,284.73061341853037
18,0.0,4603.18,-24.92,-24.92,4578.26,0.0,0.0,0.0,4603.18,277.95559744408945
19,0.0,4542.16,-24.99,-24.99,4517.17,0.0,0.0,0.0,4542.16,274.2710031948882
20,0.0,4465.0599999999995,-24.99,-24.99,4440.07,0.0,0.0,0.0,4465.0599999999995,269.61544408945684
21,0.0,4358.12,-24.99,-24.99,4333.13,0.0,0.0,0.0,4358.12,263.1580447284345
22,0.0,4202.4800000000005,-25.060000000000002,-25.060000000000002,4177.42,0.0,0.0,0.0,4202.4800000000005,253.75997444089458
23,0.0,4073.9199999999996,-24.99,-24.99,4048.93,0.0,0.0,0.0,4073.9199999999996,245.9970862619808
24,0.0,3929.55,21.14,21.14,3950.69,0.0,0.0,0.0,3929.55,237.27953674121406
25,0.0,3910.4300000000003,-10.01,-10.01,3900.42,0.0,0.0,0.0,3910.4300000000003,236.12500638977636
26,0.0,3843.0499999999997,-24.64,-24.64,3818.41,0.0,0.0,0.0,3843.0499999999997,232.05637380191692
27,0.0,3791.2000000000003,-24.78,-24.78,3766.42,0.0,0.0,0.0,3791.2000000000003,228.92549520766775
28,0.0,3793.2,-24.849999999999998,-24.849999999999998,3768.35,0.0,0.0,0.0,3793.2,229.04626198083065
29,0.0,3824.27,-24.849999999999998,-24.849999999999998,3799.42,0.0,0.0,0.0,3824.27,230.92237380191693
30,0.0,3730.71,156.38,156.38,3887.09,0.0,0.0,0.0,3730.71,225.27290415335463
31,0.0,3579.6499999999996,417.97,417.97,3997.62,0.0,0.0,0.0,3579.6499999999996,216.1513897763578
32,0.0,4182.16,-23.24,-23.24,4158.92,0.0,0.0,0.0,4182.16,252.5329840255591
33,0.0,4369.31,-24.5,-24.5,4344.81,0.0,0.0,0.0,4369.31,263.8337348242812
34,0.0,4494.219999999999,-24.57,-24.57,4469.65,0.0,0.0,0.0,4494.219999999999,271.3762236421725
35,0.0,4553.0199999999995,-24.57,-24.57,4528.45,0.0,0.0,0.0,4553.0199999999995,274.9267667731629
36,0.0,4570.54,-24.64,-24.64,4545.9,0.0,0.0,0.0,4570.54,275.98468370607026
37,0.0,4626.9800000000005,-24.64,-24.64,4602.34,0.0,0.0,0.0,4626.9800000000005,279.39272204472843
38,0.0,4700.4,-24.709999999999997,-24.709999999999997,4675.69,0.0,0.0,0.0,4700.4,283.8260702875399
39,0.0,4638.85,-24.849999999999998,-24.849999999999998,4614.0,0.0,0.0,0.0,4638.85,280.1094728434505
40,0.0,4737.929999999999,-24.78,-24.78,4713.15,0.0,0.0,0.0,4737.929999999999,286.0922587859425
41,0.0,4957.67,-24.78,-24.78,4932.89,0.0,0.0,0.0,4957.67,299.3609041533546
42,0.0,4904.08,-24.78,-24.78,4879.3,0.0,0.0,0.0,4904.08,296.1249584664537
43,0.0,4846.05,-24.78,-24.78,4821.27,0.0,0.0,0.0,4846.05,292.620910543131
44,0.0,4703.71,-24.709999999999997,-24.709999999999997,4679.0,0.0,0.0,0.0,4703.71,284.0259392971246
45,0.0,4601.200000000001,-24.849999999999998,-24.849999999999998,4576.35,0.0,0.0,0.0,4601.200000000001,277.83603833865817
46,0.0,4381.15,-24.78,-24.78,4356.37,0.0,0.0,0.0,4381.15,264.5486741214057
47,0.0,4107.62,-16.939999999999998,-16.939999999999998,4090.68,0.0,0.0,0.0,4107.62,248.03200638977634
48,0.0,3907.6699999999996,64.82,64.82,3972.49,0.0,0.0,0.0,3907.6699999999996,235.95834824281147
49,0.0,3923.66,-21.77,-21.77,3901.89,0.0,0.0,0.0,3923.66,236.92387859424917
50,0.0,3877.0099999999998,-22.89,-22.89,3854.12,0.0,0.0,0.0,3877.0099999999998,234.1069936102236
51,0.0,3860.75,-24.5,-24.5,3836.25,0.0,0.0,0.0,3860.75,233.12515974440893
52,0.0,3904.28,-24.57,-24.57,3879.71,0.0,0.0,0.0,3904.28,235.75364856230033
53,0.0,4016.06,-19.18,-19.18,3996.88,0.0,0.0,0.0,4016.06,242.503303514377
54,0.0,4049.3599999999997,151.83,151.83,4201.19,0.0,0.0,0.0,4049.3599999999997,244.5140702875399
55,0.0,4227.799999999999,277.27,277.27,4505.07,0.0,0.0,0.0,4227.799999999999,255.28888178913732
56,0.0,4416.5199999999995,302.89000000000004,302.89000000000004,4719.41,0.0,0.0,0.0,4416.5199999999995,266.6844345047923
57,0.0,4276.96,510.51000000000005,510.51000000000005,4787.47,0.0,0.0,0.0,4276.96,258.2573290734824
58,0.0,3767.7799999999997,1093.26,1093.26,4861.04,0.0,0.0,0.0,3767.7799999999997,227.5113162939297
59,0.0,3375.75,1398.74,1398.74,4774.49,0.0,0.0,0.0,3375.75,203.83921725239617
60,0.0,4176.429999999999,559.3000000000001,559.3000000000001,4735.73,0.0,0.0,0.0,4176.429999999999,252.18698722044724
61,0.0,2975.45,1676.43,1676.43,4651.88,0.0,0.0,0.0,2975.45,179.66774760383385
62,0.0,3739.83,892.29,892.29,4632.12,0.0,0.0,0.0,3739.83,225.82360063897764
63,0.0,3658.25,995.54,995.54,4653.79,0.0,0.0,0.0,3658.25,220.89752396166134
64,0.0,2516.59,2119.25,2119.25,4635.84,0.0,0.0,0.0,2516.59,151.9602268370607
65,0.0,3646.6099999999997,1094.8,1094.8,4741.41,0.0,0.0,0.0,3646.6099999999997,220.19466134185302
66,0.0,4184.2,603.75,603.75,4787.95,0.0,0.0,0.0,4184.2,252.6561661341853
67,0.0,3260.58,1409.8,1409.8,4670.38,0.0,0.0,0.0,3260.58,196.8848626198083
68,0.0,3333.04,1269.9399999999998,1269.9399999999998,4602.98,0.0,0.0,0.0,3333.04,201.2602428115016
69,0.0,3611.04,837.8299999999999,837.8299999999999,4448.87,0.0,0.0,0.0,3611.04,218.04682428115015
70,0.0,4268.28,0.0,0.0,4268.28,0.0,0.0,0.0,4268.28,257.73320127795523
71,0.0,4059.35,0.0,0.0,4059.35,0.0,0.0,0.0,4059.35,245.1173003194888
72,0.0,3918.46,0.0,0.0,3918.46,0.0,0.0,0.0,3918.46,236.60988498402557
73,0.0,3825.4,0.0,0.0,3825.4,0.0,0.0,0.0,3825.4,230.990607028754
74,0.0,3762.04,0.0,0.0,3762.04,0.0,0.0,0.0,3762.04,227.16471565495206
75,0.0,3756.57,0.0,0.0,3756.57,0.0,0.0,0.0,3756.57,226.83441853035146
76,0.0,3803.67,0.0,0.0,3803.67,0.0,0.0,0.0,3803.67,229.67847603833866
77,0.0,3915.82,0.0,0.0,3915.82,0.0,0.0,0.0,3915.82,236.45047284345048
78,0.0,4220.96,0.0,0.0,4220.96,0.0,0.0,0.0,4220.96,254.87585942492012
79,0.0,4495.34,0.0,0.0,4495.34,0.0,0.0,0.0,4495.34,271.4438530351438
80,0.0,4637.0,0.0,0.0,4637.0,0.0,0.0,0.0,4637.0,279.99776357827477
81,0.0,4653.34,0.0,0.0,4653.34,0.0,0.0,0.0,4653.34,280.984428115016
82,0.0,4349.04,0.0,0.0,4349.04,0.0,0.0,0.0,4349.04,262.60976357827474
83,0.0,4005.37,0.0,0.0,4005.37,0.0,0.0,0.0,4005.37,241.85780511182108
84,0.0,3853.82,0.0,0.0,3853.82,0.0,0.0,0.0,3853.82,232.70670287539937
85,0.0,3800.05,0.0,0.0,3800.05,0.0,0.0,0.0,3800.05,229.45988817891376
86,0.0,3777.83,0.0,0.0,3777.83,0.0,0.0,0.0,3777.83,228.11816932907348
87,0.0,3826.4,0.0,0.0,3826.4,0.0,0.0,0.0,3826.4,231.05099041533546
88,0.0,3837.8,0.0,0.0,3837.8,0.0,0.0,0.0,3837.8,231.73936102236422
89,0.0,3958.09,0.0,0.0,3958.09,0.0,0.0,0.0,3958.09,239.0028785942492
90,0.0,3921.17,0.0,0.0,3921.17,0.0,0.0,0.0,3921.17,236.77352396166134
91,0.0,3819.84,0.0,0.0,3819.84,0.0,0.0,0.0,3819.84,230.65487539936103
92,0.0,3718.98,0.0,0.0,3718.98,0.0,0.0,0.0,3718.98,224.56460702875398
93,0.0,3595.94,0.0,0.0,3595.94,0.0,0.0,0.0,3595.94,217.13503514376995
94,0.0,3762.58,0.0,0.0,3762.58,0.0,0.0,0.0,3762.58,227.19732268370606
95,0.0,3753.46,0.0,0.0,3753.46,0.0,0.0,0.0,3753.46,226.64662619808306
96,0.0,3562.4,0.0,0.0,3562.4,0.0,0.0,0.0,3562.4,215.10977635782749
97,0.0,3578.92,0.0,0.0,3578.92,0.0,0.0,0.0,3578.92,216.10730990415337
98,0.0,3422.69,0.0,0.0,3422.69,0.0,0.0,0.0,3422.69,206.67361341853035
99,0.0,3518.98,0.0,0.0,3518.98,0.0,0.0,0.0,3518.98,212.48792971246007
100,0.0,3569.09,0.0,0.0,3569.09,0.0,0.0,0.0,3569.09,215.51374121405752
101,0.0,3678.26,0.0,0.0,3678.26,0.0,0.0,0.0,3678.26,222.10579552715654
102,0.0,3939.03,0.0,0.0,3939.03,0.0,0.0,0.0,3939.03,237.8519712460064
103,0.0,4289.37,0.0,0.0,4289.37,0.0,0.0,0.0,4289.37,259.00668690095847
104,0.0,4445.79,0.0,0.0,4445.79,0.0,0.0,0.0,4445.79,268.4518562300319
105,0.0,4544.3,0.0,0.0,4544.3,0.0,0.0,0.0,4544.3,274.40022364217253
106,0.0,4531.86,0.0,0.0,4531.86,0.0,0.0,0.0,4531.86,273.64905431309904
107,0.0,4535.23,0.0,0.0,4535.23,0.0,0.0,0.0,4535.23,273.85254632587856
108,0.0,4479.99,0.0,0.0,4479.99,0.0,0.0,0.0,4479.99,270.51696805111817
109,0.0,4390.1,0.0,0.0,4390.1,0.0,0.0,0.0,4390.1,265.0891054313099
110,0.0,4381.77,0.0,0.0,4381.77,0.0,0.0,0.0,4381.77,264.58611182108626
111,0.0,4425.13,0.0,0.0,4425.13,0.0,0.0,0.0,4425.13,267.2043354632588
112,0.0,4476.73,0.0,0.0,4476.73,0.0,0.0,0.0,4476.73,270.3201182108626
113,0.0,4565.64,0.0,0.0,4565.64,0.0,0.0,0.0,4565.64,275.6888051118211
114,0.0,4619.67,0.0,0.0,4619.67,0.0,0.0,0.0,4619.67,278.9513194888179
115,0.0,4519.54,0.0,0.0,4519.54,0.0,0.0,0.0,4519.54,272.90513099041533
116,0.0,4416.73,0.0,0.0,4416.73,0.0,0.0,0.0,4416.73,266.6971150159744
117,0.0,4298.28,0.0,0.0,4298.28,0.0,0.0,0.0,4298.28,259.54470287539937
118,0.0,4118.21,0.0,0.0,4118.21,0.0,0.0,0.0,4118.21,248.67146645367413
119,0.0,3885.69,0.0,0.0,3885.69,0.0,0.0,0.0,3885.69,234.6311214057508
120,0.0,3761.75,0.0,0.0,3761.75,0.0,0.0,0.0,3761.75,227.14720447284344
121,0.0,3660.68,0.0,0.0,3660.68,0.0,0.0,0.0,3660.68,221.0442555910543
122,0.0,3643.97,0.0,0.0,3643.97,0.0,0.0,0.0,3643.97,220.03524920127794
123,0.0,3635.65,0.0,0.0,3635.65,0.0,0.0,0.0,3635.65,219.53285942492013
124,0.0,3696.07,0.0,0.0,3696.07,0.0,0.0,0.0,3696.07,223.18122364217254
125,0.0,3746.03,0.0,0.0,3746.03,0.0,0.0,0.0,3746.03,226.19797763578276
126,0.0,3986.48,0.0,0.0,3986.48,0.0,0.0,0.0,3986.48,240.7171629392971
127,0.0,4315.12,0.0,0.0,4315.12,0.0,0.0,0.0,4315.12,260.5615591054313
128,0.0,4507.29,0.0,0.0,4507.29,0.0,0.0,0.0,4507.29,272.1654345047923
129,0.0,4593.53,0.0,0.0,4593.53,0.0,0.0,0.0,4593.53,277.37289776357824
130,0.0,4673.71,0.0,0.0,4673.71,0.0,0.0,0.0,4673.71,282.2144376996805
131,0.0,4648.35,0.0,0.0,4648.35,0.0,0.0,0.0,4648.35,280.68311501597447
132,0.0,4597.3,0.0,0.0,4597.3,0.0,0.0,0.0,4597.3,277.60054313099045
133,0.0,4505.79,0.0,0.0,4505.79,0.0,0.0,0.0,4505.79,272.07485942492013
134,0.0,4499.39,0.0,0.0,4499.39,0.0,0.0,0.0,4499.39,271.6884057507987
135,0.0,4409.17,0.0,0.0,4409.17,0.0,0.0,0.0,4409.17,266.2406166134185
