,wind power production
0,136.38
1,567.3199999999999
2,866.51
3,843.32
4,591.85
5,686.09
6,978.21
7,580.0
8,80.43
9,-2.26
10,74.62
11,388.93
12,326.51
13,166.33
14,30.87
15,33.84
16,-2.28
17,-3.6100000000000003
18,-7.16
19,-7.18
20,-7.1899999999999995
21,-7.199999999999999
22,-7.220000000000001
23,-7.21
24,-0.3500000000000001
25,-5.06
26,-7.15
27,-7.18
28,-7.18
29,-7.17
30,18.71
31,69.88
32,-6.92
33,-7.1
34,-7.109999999999999
35,-7.109999999999999
36,-7.13
37,-7.13
38,-7.15
39,-7.18
40,-7.17
41,-7.16
42,-7.15
43,-7.15
44,-7.14
45,-7.17
46,-7.16
47,-6.0600000000000005
48,5.63
49,-6.74
50,-6.91
51,-7.15
52,-7.16
53,-6.390000000000001
54,18.880000000000003
55,38.97
56,42.11000000000001
57,94.77000000000001
58,208.77
59,279.43
60,115.08000000000001
61,348.01
62,167.9
63,198.42000000000002
64,405.93
65,209.33
66,108.32
67,270.53
68,247.57
69,145.88
70,16.16
71,80.23
72,16.09
73,-3.12
74,7.09
75,11.11
76,210.86
77,-1.09
78,40.06
79,51.72
80,301.71
81,301.8
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,-3.6
299,-3.6
300,-3.61
301,19.18
302,14.68
303,3.13
304,48.74
305,73.89
306,117.09
307,3.87
308,40.17
309,146.58
310,133.31
311,54.5
312,123.55
313,287.28
314,296.32
315,199.88
316,150.87
317,51.45
318,41.49
319,20.31
320,20.51
321,103.89
322,238.32999999999998
323,187.57999999999998
324,387.0
325,212.59
326,253.68
327,109.18
328,48.339999999999996
329,188.82000000000002
330,211.02
331,284.43
332,123.97
333,141.0
334,46.06
335,69.42
336,86.55000000000001
337,49.1
338,82.42
339,94.96000000000001
340,59.52
341,7.4
342,3.6
343,-7.15
344,-7.1899999999999995
345,-7.24
346,-7.25
347,-7.27
348,-7.27
349,10.09
350,29.03
351,44.83
352,28.88
353,26.89
354,24.479999999999997
355,29.24
356,16.71
357,24.27
358,7.7
359,-6.98
360,-7.05
361,-7.09
362,-6.84
363,-7.13
364,-7.14
365,-7.18
366,-7.2
367,-7.21
368,-7.22
369,-7.23
370,-7.23
371,-7.24
372,-7.25
373,-7.25
374,-7.25
375,-7.26
376,-7.25
377,-7.24
378,-7.24
379,-7.24
380,-7.25
381,-7.25
382,2.59
383,45.93
384,133.49
385,155.63
386,149.34
387,192.77
388,98.58
389,9.129999999999999
390,53.099999999999994
391,56.82
392,20.15
393,-6.9
394,-5.54
395,34.34
396,35.41
397,4.380000000000001
398,35.56
399,30.460000000000004
400,30.610000000000003
401,19.119999999999997
402,79.47
403,16.98
404,22.68
405,-6.75
406,-6.8100000000000005
407,4.49
408,95.35000000000001
409,12.830000000000002
410,58.82000000000001
411,25.66
412,-6.42
413,-0.3599999999999999
414,-6.800000000000001
415,-6.82
416,-6.859999999999999
417,-6.88
418,-6.88
419,-6.66
420,-6.93
421,-6.1899999999999995
422,2.62
423,-1.8599999999999999
424,14.62
425,31.66
426,36.68
427,15.36
428,52.99
429,68.9
