,0,1,2,3,4,5,6
Curtailment,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shortfall,11502.066,8174.038315291281,7405.8405015479075,6526.743681481632,3310.001566349387,4189.81902814917,2343.4897020016233
Wind + PV + Storage,0.0,3503.8126847087196,4495.504498452092,5814.232318518369,9433.385433650614,9018.50297185083,10974.110297998377
Wind + PV Generation,0.0,3503.8126847087196,4495.504498452092,5814.232318518369,9433.385433650614,9018.50297185083,10974.110297998377
Load,11502.066,11677.851,11901.345,12340.976,12743.387,13208.322,13317.6
State of Charge,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery Used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Final Diesel Shortfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Diesel Power Supplied,11502.066,8174.038315291281,7405.8405015479075,6526.743681481632,3310.001566349387,4189.81902814917,2343.4897020016233
Total Diesel Fuel Used,835.1516129032258,553.9986242341699,506.05127550903364,456.42345261458433,258.51290322580644,291.54276880215997,155.9909027441221
