,0,1,2,3,4,5,6,SUM
Curtailment,0,0,0,0,0,0,0,0
Shortfall,11502.066,8174.038315,7405.840502,6526.743681,3310.001566,4189.819028,2343.489702,43451.99879
Wind + PV + Storage,0,3503.812685,4495.504498,5814.232319,9433.385434,9018.502972,10974.1103,43239.54821
Wind + PV Generation,0,3503.812685,4495.504498,5814.232319,9433.385434,9018.502972,10974.1103,43239.54821
Load,11502.066,11677.851,11901.345,12340.976,12743.387,13208.322,13317.6,86691.547
State of Charge,0,0,0,0,0,0,0,0
Battery Used,0,0,0,0,0,0,0,0
Final Diesel Shortfall,0,0,0,0,0,0,0,0
Total Diesel Power Supplied,11502.066,8174.038315,7405.840502,6526.743681,3310.001566,4189.819028,2343.489702,43451.99879
Total Diesel Fuel Used,835.1516129,553.9986242,506.0512755,456.4234526,258.5129032,291.5427688,155.9909027,3057.67154
