,0,1,2,3,4,5,6,Sum
Curtailment,0,0,0,201.7049092,984.0219413,839.3798592,1255.781339,3280.888049
Shortfall,967.654,247.0372243,71.62300033,0,0,0,0,1286.314225
Wind + PV + Storage,695.1171604,737.6447757,946.4219997,1224.048909,1979.551941,1877.668859,2284.251339,9744.704984
Wind + PV Generation,0,737.6447757,946.4219997,1224.048909,1979.551941,1877.668859,2284.251339,9049.587824
Load,967.654,984.682,1018.045,1022.344,995.53,1038.289,1028.47,7055.014
State of Charge,0,0,0,201.7049092,1185.72685,2025.10671,3280.888049,6693.426518
Battery Used,695.1171604,0,0,0,0,0,0,695.1171604
Final Diesel Shortfall,0,0,0,0,0,0,0,0
Total Diesel Power Supplied,272.5368396,247.0372243,71.62300033,0,0,0,0,591.1970642
Total Diesel Fuel Used,66.3,66.3,66.3,0,0,0,0,198.9
