,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,SUM
Curtailment,11484.11529,13833.72415,14441.65932,5425.163456,0,0,274.2645278,0,0,0,0,0,501.6800845,5365.856419,0,0,11432.13924,6904.047355,9573.497597,514.4655886,8932.175076,957.951739,5587.037363,13809.04075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2413.83934,5995.722434,7464.081817,7758.674565,7660.791727,7628.999249,7666.240805,7070.241962,162695.4099
Shortfall,0,0,0,0,1433.563402,1495.017444,0,4825.641996,9820.021159,5789.61922,5106.793513,5402.373729,0,0,1288.261321,8166.745008,0,0,0,0,0,0,0,0,3274.939828,7438.403333,8163.324861,6541.593441,10178.7384,10608.7,10489.22,10039.008,9630.475,8876.52,8600.646,8411.759,8400.591,8405.072,8453.581,5329.392156,0,0,0,0,0,0,0,0,176170.0008
Wind + PV + Storage,23827.97029,26069.60115,26484.53332,17279.68446,11763.973,11676.896,11609.67253,10840.311,10523.182,8935.484,5617.950796,3436.655271,9309.290084,14265.43442,9009.353,5664.496174,21260.51124,17251.33935,20263.6486,11270.48959,19811.36008,11773.81674,16249.33936,24428.96275,10643.184,10743.036,10815.731,10245.39754,465.3765962,0,0,0,0,0,0,0,0,0,0,3349.841844,11599.46734,15566.99743,17449.37582,17991.40557,17912.11873,17665.71425,17665.4998,16916.62796,527653.7291
Wind + PV Generation,23827.97029,26069.60115,26484.53332,17279.68446,10330.4096,10181.87856,11609.67253,6014.669004,703.160841,3145.86478,3707.549487,3436.655271,9309.290084,14265.43442,7721.091679,1085.220992,21260.51124,17251.33935,20263.6486,11270.48959,19811.36008,11773.81674,16249.33936,24428.96275,7368.244172,3304.632667,2652.406139,4122.065559,465.3765962,0,0,0,0,0,0,0,0,0,0,3349.841844,11599.46734,15566.99743,17449.37582,17991.40557,17912.11873,17665.71425,17665.4998,16916.62796,471511.928
Load,12343.855,12235.877,12042.874,11854.521,11763.973,11676.896,11335.408,10840.311,10523.182,8935.484,8814.343,8839.029,8807.61,8899.578,9009.353,9251.966,9828.372,10347.292,10690.151,10756.024,10879.185,10815.865,10662.302,10619.922,10643.184,10743.036,10815.731,10663.659,10644.115,10608.7,10489.22,10039.008,9630.475,8876.52,8600.646,8411.759,8400.591,8405.072,8453.581,8679.234,9185.628,9571.275,9985.294,10232.731,10251.327,10036.715,9999.259,9846.386,484986.519
State of Charge,25000,25000,25000,25000,23566.4366,22071.41915,22345.68368,17520.04169,7700.020528,1910.401308,0,0,501.6800845,5867.536503,4579.275182,0,11432.13924,18336.1866,25000,25000,25000,25000,25000,25000,21725.06017,14286.65684,6123.331978,0,0,0,0,0,0,0,0,0,0,0,0,0,2413.83934,8409.561773,15873.64359,23632.31816,25000,25000,25000,25000,578295.2324
Battery Used,0,0,0,0,1433.563402,1495.017444,0,4825.641996,9820.021159,5789.61922,1910.401308,0,0,0,1288.261321,4579.275182,0,0,0,0,0,0,0,0,3274.939828,7438.403333,8163.324861,6123.331978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56141.80103
Final Diesel Shortfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Diesel Power Supplied,0,0,0,0,0,0,0,0,0,0,3196.392204,5402.373729,0,0,0,3587.469826,0,0,0,0,0,0,0,0,0,0,0,418.2614637,10178.7384,10608.7,10489.22,10039.008,9630.475,8876.52,8600.646,8411.759,8400.591,8405.072,8453.581,5329.392156,0,0,0,0,0,0,0,0,120028.1998
Total Diesel Fuel Used,0,0,0,0,0,0,0,0,0,0,258.5129032,365.7979205,0,0,0,258.5129032,0,0,0,0,0,0,0,0,0,0,0,66.3,695.2456185,720.1556516,713.23352,687.1502699,664.2453097,642.9387097,642.9387097,571.8813545,571.0412326,571.3783195,575.0274481,360.3078228,0,0,0,0,0,0,0,0,8364.667694
