,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,SUM
Curtailment,4134.744323,4569.746077,4655.744736,2778.751309,1398.392038,1439.83938,1748.095585,614.2501062,0,42.27032219,151.3597342,96.09037278,1319.554544,2376.041351,971.4319851,0,3676.241467,2787.525782,3351.287668,1569.85817,3248.46678,1712.543739,2550.07857,4250.682329,814.4507124,0,0,137.1974144,0,0,0,0,0,0,0,0,0,0,0,73.77846294,1690.54473,2480.495575,2843.233524,2974.589285,2915.956174,2881.214947,2856.606705,2687.472756,71798.53665
Shortfall,0,0,0,0,0,0,0,0,507.3071387,0,0,0,0,0,0,442.3665261,0,0,0,0,0,0,0,0,0,38.11174397,186.2715857,0,592.2789819,661.289,654.646,637.015,613.407,607.017,592.997,598.378,604.74,596.508,606.157,0,0,0,0,0,0,0,0,0,7938.489976
Wind + PV + Storage,4958.447323,5337.175077,5409.760736,3502.083309,2112.591038,2143.55338,2444.141585,1266.246106,655.341,662.2873222,780.5367342,723.5063728,1959.850544,3003.249351,1625.492985,669.778,4357.037467,3484.549782,4066.081668,2261.28217,3974.98078,2400.452739,3249.86857,4956.872329,1516.721712,699.119,716.817,824.4784144,685.367,661.289,654.646,637.015,613.407,607.017,592.997,554.1641029,0,0,0,675.2794629,2319.97673,3113.538575,3490.069524,3598.471285,3582.511174,3533.153947,3533.100705,3394.846756,102009.1528
Wind + PV Generation,4958.447323,5337.175077,5409.760736,3502.083309,2112.591038,2143.55338,2444.141585,1266.246106,148.0338613,662.2873222,780.5367342,723.5063728,1959.850544,3003.249351,1625.492985,227.4114739,4357.037467,3484.549782,4066.081668,2261.28217,3974.98078,2400.452739,3249.86857,4956.872329,1516.721712,661.007256,530.5454143,824.4784144,93.08801808,0,0,0,0,0,0,0,0,0,0,675.2794629,2319.97673,3113.538575,3490.069524,3598.471285,3582.511174,3533.153947,3533.100705,3394.846756,95922.28168
Load,823.703,767.429,754.016,723.332,714.199,703.714,696.046,651.996,655.341,620.017,629.177,627.416,640.296,627.208,654.061,669.778,680.796,697.024,714.794,691.424,726.514,687.909,699.79,706.19,702.271,699.119,716.817,687.281,685.367,661.289,654.646,637.015,613.407,607.017,592.997,598.378,604.74,596.508,606.157,601.501,629.432,633.043,646.836,623.882,666.555,651.939,676.494,707.374,32062.235
State of Charge,5000,5000,5000,5000,5000,5000,5000,5000,4492.692861,4534.963183,4686.322918,4782.41329,5000,5000,5000,4557.633474,5000,5000,5000,5000,5000,5000,5000,5000,5000,4961.888256,4775.61667,4912.814085,4320.535103,3659.246103,3004.600103,2367.585103,1754.178103,1147.161103,554.1641029,0,0,0,0,73.77846294,1764.323193,4244.818768,5000,5000,5000,5000,5000,5000,190594.7349
Battery Used,0,0,0,0,0,0,0,0,507.3071387,0,0,0,0,0,0,442.3665261,0,0,0,0,0,0,0,0,0,38.11174397,186.2715857,0,592.2789819,661.289,654.646,637.015,613.407,607.017,592.997,554.1641029,0,0,0,0,0,0,0,0,0,0,0,0,6086.871079
Final Diesel Shortfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Diesel Power Supplied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.21389712,604.74,596.508,606.157,0,0,0,0,0,0,0,0,0,1851.618897
Total Diesel Fuel Used,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.3,66.3,66.3,66.3,0,0,0,0,0,0,0,0,0,265.2
